County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
FAIRFIELD,Miller Pool,"409 N. Memorial Dr, 43130",Lancaster,OUTDOOR,10800,392483
EAST LIVERPOOL,J. Burchfield Cartwright,2205 Thompson Park Rd,East Liverpool,OUTDOOR,11000,388000
MARION,Lincoln Park Family Aquatic,"879 N. Prospect St., 43302",Marion,OUTDOOR,13940,385000
CLARK,Nt Splash Zone,"300 Eagle City Rd, 45502",Springfield,OUTDOOR,13300,377000
LICKING,YMCA of Licking County,"470 W. Church St, 43055",Newark,INDOOR,12400,375160
SANDUSKY,Fremont Ross High School,"1100 North St., 43420",Fremont,INDOOR,7500,374090
HAMILTON,St. Xavier High School,"600 W. North Bend Rd, 45224",Cincinnati,INDOOR,9500,365000
RICHLAND,Liberty/Pool,"491 Grace St., 44905",Mansfield,OUTDOOR,12026,363000
BELMONT,Allen Pool,"200 Walnut St., 43950",St. Clairsville,OUTDOOR,5200,360000
MONTGOMERY,Melody Pool,"7331 Pleasant Plain Rd, 45315",Clayton,OUTDOOR,9108,360000
MONTGOMERY,Melody Pool,7331 Pleasant Plain Rd,Clayton,OUTDOOR,9108,360000
WOOD,Perrysburg Municipal Pool,"915 Elm St., 43551", Perrysburg,OUTDOOR,12500,358882
COLUMBUS CITY,Marion Franklin Pool,"2699 Lockbourne Rd, 43207",Columbus,OUTDOOR,9200,357465
CLEVELAND CITY,Lonnie Burten Rec.,"2511 E. 46th St., 44104",Cleveland,OUTDOOR,30172,353144
LAKE,Lakeside Villas,"1988 Lakeside Rd, 44057",Madison,OUTDOOR,1250,352725
BUTLER,Fairfield Aquatic Center,"2605 Augusta Blvd, 45014",Fairfield,OUTDOOR,12400,352270
HOCKING,Logan City Pool,"594 N. Market St, 43138",Logan,OUTDOOR,9150,352000
COLUMBUS CITY,Tuttle Park,"240 W. Oakland Ave, 43201",Columbus,OUTDOOR,3000,350000
CUYAHOGA,Brook Park Muni Indoor Diving Well,"17400 Holland Rd, 44142",Brook Park,INDOOR,3825,350000
FRANKLIN,Dublin Community North Pool,"5660 Dublinshire Rd, 43017",Dublin,OUTDOOR,11488,350000
GALLIA,Gallipolis Municipal Pool,2501 Ohio Ave,Gallipolis,OUTDOOR,9680,350000
GALLIA,Gallipolis Municipal Pool,"2501 Ohio Ave, 45631",Gallipolis,OUTDOOR,9680,350000
HAMILTON,Village of Greenhills,"10 Enfield St., 45218",Greenhills,OUTDOOR,8100,350000
LAKE,Eleanor B Garfield Park (M),"7967 Mentor Ave, 44060",Mentor,OUTDOOR,7250,350000
WARREN CITY,Warren Olympic Club Pool #1,"3961 Tod Ave, NW,44485",Warren,OUTDOOR,10000,350000
CUYAHOGA,Bay Village Muni-Main Pool,"310 Bryson Lane, 44140",Bay Village,OUTDOOR,12886,348338
MERCER,Ambassador Swimming Pool,"410 W. Milligan St., 45846",Ft. Reco,OUTDOOR,5500,347757
LICKING,Heath Municipal Pool Olympic,"1287 Hebron Rd, 43056",Heath,OUTDOOR,12347,347250
CUYAHOGA,City of Brooklyn Nat Pool,"7600 Memphis Ave, 44144",Brooklyn,INDOOR,7375,346920
CLEVELAND CITY,CWRU-Veale (Pool),10900 Euclid Ave,Cleveland,INDOOR,7200,345000
RICHLAND,Ohio Dreams Inc/Pool,"3495 Tugend Rd, 44822",Butler,OUTDOOR,5400,341850
FRANKLIN,Dublin Community Rec Ctr. Lap,"5600 Post Rd, 43017",Dublin,INDOOR,6163,339700
DELAWARE,Meek Aquatic & Rec. Ctr,"150 S. henry St., 43015",Delaware,INDOOR,8267,336310
CLEVELAND CITY,Luke Easter Pool,3165 Martin Luther King Jr. Dr.,Cleveland,OUTDOOR,8960,335329
MERCER,Bryson Swimming Pool,"801 W. Market St., 45822",Celina,OUTDOOR,10480,331500
FRANKLIN,Hilliard East Municipal Main Pool,4450 Schirtzinger Rd,Hilliard,OUTDOOR,9300,330000
HAMILTON,Montgomery Swim Recreational,9941 Orchard Club Dr,Cincinnati,OUTDOOR,4592,330000
CUYAHOGA,The Meadowood Assn - Pool,"10901 Gate Post Rd, 44149",Strongsville,OUTDOOR,7500,326502
CLEVELAND CITY,Cleveland State Pool 2,"1983 E. 24th St, 44114",Cleveland,INDOOR,3150,325000
CUYAHOGA,Longbrooke Homeowners Pool,"501 Wyleswood Dr, 44017",Berea,OUTDOOR,6998,320500
COLUMBIANA,Firestone Park Pool - Main,"338 East Park Ave, 44408",Columbiana,OUTDOOR,8387,320000
Allen,Bluffton Municipal Pool,"205 Snider Rd, 45817",Bluffton,OUTDOOR,8165,319445
FRANKLIN,Devon Swimming Pool,"2070 S. Mallway Dr., 43221",Columbus,OUTDOOR,9100,317646
COLUMBIANA,East Palestine City Pool,"31 Park Dr, 44413",East Palestine,OUTDOOR,10075,316800
PUTNAM,Village of Columbus Grove,"17510 Rd 8-P, 45830",Columbus Grove,OUTDOOR,8000,314000
CUYAHOGA,Solon Muni Pool,"33655 Arthur Rd, 44139",Solon,OUTDOOR,7380,313200
CUYAHOGA,Parkview Main Pool,"425 N. Commons, 44143",Mayfield Village,OUTDOOR,14019,311564
CUYAHOGA,Ledgewood Assn- Pool,"17761 Falling Water, 44136",Stongsville,OUTDOOR,7000,310000
FRANKLIN,Dublin Community South Lap,"6363 Woerner Temple Rd, 43017",Dublin,OUTDOOR,4925,309885
DELAWARE,Tartan Fields Swim Club,"8070 Tartan Fields Dr, 43017",Dublin,OUTDOOR,9082,308642
LORAIN,Ridgefield Recreation Center,"8700 Gatewood Dr., 44039",N. Ridgeville,OUTDOOR,8500,305000
MERCER,Memorial Park Swimming Pool,"600 W. Vine St., 45828",Coldwater,OUTDOOR,7939,304334
WAYNE,Orrville City Pool,"400 N. Elm St, 44667",Orrville,OUTDOOR,8722,303360
CUYAHOGA,Highland Hts Muni Pool,"5905 Wilson Mills Rd, 44143",Highland hts,OUTDOOR,10491,303217
MEDINA,Medina Community Rec Ctr Pool,"855 Weymouth Rd, 44256",Medina,INDOOR,5213,302643
CLARK,HPERC Wittenberg Univ.,"282 Bill Edwards Dr., 45504",Springfield,INDOOR,5718,300000
COLUMBUS CITY,Rittenhouse Square #1,"1715 Rittenhouse Sq., 43220",Columbus,OUTDOOR,650,300000
FRANKLIN,Reynoldsburg Swim Club Main,7215 E. Main St.,Reynoldsburg,OUTDOOR,8000,300000
FRANKLIN,Reynoldsburg Swim Club Back,7215 E. Main St.,Reynoldsburg,OUTDOOR,7500,300000
LORAIN,Oberlin College,"173 West Lorain, 44074",Oberlin,INDOOR,5457,300000
MONTGOMERY,Chautauqua Pool,9985 Camp Trail,Miamisburg,OUTDOOR,7500,300000
MONTGOMERY,Chautauqua Pool,"9985 Camp Trail, 45342",Miamisburg,OUTDOOR,7500,300000
