County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
CINCINNATI CITY,Spring Grove Village Pool,"600 Hand Ave, 45232",Cincinnati,OUTDOOR,3200,62836
CUYAHOGA,Bratenahl Condo Assn - Pool,"2 Bratenahl Pl, 44108",Bratenahl,OUTDOOR,1973,62831
GREENE,Avalon Place Apartments,2196 Rockdell Drive,Fairborn,OUTDOOR,1500,62820
ERIE,Rivers Edge Condo,201 River's Edge Dr,Huron,OUTDOOR,2096,62800
CUYAHOGA,Moreland Valley Estates Pool,"15 Lochspur Ln, 44022",Moreland Hills,OUTDOOR,1674,62775
LUCAS,Boulder Creek,"1255 S. Byrne Rd, 43614",Toledo,OUTDOOR,1250,62650
CLEVELAND CITY,Parker Hannifin YMCA Pool,"1301 E. 9th, 44113",Cleveland,INDOOR,1979,62508
FRANKLIN,New Albany Country Club Adult,"1 Club Ln., 43054",New Albany,OUTDOOR,1898,62500
CUYAHOGA,Terraces at Northridge,"256 Northridge Oval, 44144",Brooklyn,OUTDOOR,1858,62410
CLERMONT,Tall Trees CA,3600 South Heartwood Rd 45102,Amelia,OUTDOOR,1840,62400
MONTGOMERY,Dayton Tall Timbers KOA,"7796 Wellbaum Rd, 45309",Brookville,OUTDOOR,1930,62400
MONTGOMERY,Dayton Tall Timbers KOA,7796 Wellbaum Rd,Brookville,OUTDOOR,1930,62400
COLUMBUS CITY,Franklin Manor,"1475 Stimmel Rd, 43223",Columbus,OUTDOOR,1700,62250
RICHLAND,Lakewood Racquet Pool,"10 Lakewood Dr., 44904",Lexington,OUTDOOR,1800,62100
CINCINNATI CITY,Drake Center Inc.,"151 W. Galbraith Rd, 45216",Cincinnati,INDOOR,1344,62000
STARK,North Canton YMCA,"200 S Main St 44720, 44720",Canton,INDOOR,3150,62000
CUYAHOGA,Mayfair Apartments,"18645 Detroit Ave, 44107",Lakewood,OUTDOOR,1500,61875
SHARONVILLE CITY,Copperfield Community,"12135 Copperfield Dr, 45241",Sharonville,OUTDOOR,7600,61800
CUYAHOGA,444 park Apartments,"444 Richmond Park E, 44143",Richmond Hts,INDOOR,1500,61710
CLERMONT,Lexington Run,"1266 Buglers Sound Cir 45103, 45103",Cincinnati,OUTDOOR,1903,61568
WOOD,Waterstone Landing Apts,"12315 Roachton Rd, 43551",Perrysburg,OUTDOOR,1981,61530
CUYAHOGA,Richmond Place Condo Pool,"481 Donna Dr, 44143",Richmond Hts,OUTDOOR,1800,61500
WARREN,Greenbrier Community Assoc.,"6220 Greenbrier Glen, 45040",Mason,OUTDOOR,1875,61405
GALLIA,Tara Apartments Pool,106 Carmen Dr,Gallipolis,OUTDOOR,760,61200
COLUMBUS CITY,Friendship Village of Dublin,"6000 Riverside Dr., 43017",Dublin,INDOOR,1992,61000
CRAWFORD,Wagon Wheel Campground,"6787 Baker 47, 44875",Shelby,OUTDOOR,1800,61000
CUYAHOGA,Hilroc Condo Pool,"18501 Hilliard Rd, 44116",Rocky River,OUTDOOR,1568,61000
MEDINA,Maple Lakes - Main Pool,"4275 Blake Rd, 44273",Seville,OUTDOOR,1875,61000
CLEVELAND CITY,Central Recreation,2526 Central Ave,Cleveland,INDOOR,1104,60750
HAMILTON,Bridgecreek C.A.,"9281 Bridgecreek Dr, 45231",Cincinnati,OUTDOOR,1800,60750
MEDINA,Great Oaks Condo Assn,"100 Deepwood, 44281",Wadsworth,OUTDOOR,1800,60750
FAIRFIELD,Rippling Stream Campground,"3640 Reynoldsburg Baltimore Rd, 43105",Baltimore,OUTDOOR,1800,60500
Allen,Camp Robin Rogers,"1090 S. Conant Rd, 45887",Spencerville,OUTDOOR,1500,60000
ASHTABULA,Camp Koinonia,6810 Cork Cold Springs Rd,Geneva-on-the-Lake,OUTDOOR,2625,60000
AUGLAIZE,"Venture Out Resorts, LLC",14296 Cemetery Rd,Wapakoneta,INDOOR,1995,60000
BUTLER,The Court Yard Sports Plex,7373 Kingsgate Way,West Chester,OUTDOOR,1800,60000
CLARK,Polo Club,"3644 Urbana Rd, 45502",Springfield,OUTDOOR,1950,60000
COLUMBUS CITY,Premier @ Sawmill Athletic,"3111 Hayden Rd, 43235",Columbus,INDOOR,3500,60000
COLUMBUS CITY,Estates at New Albany,"4701 Rexwood Dr, 43230",Columbus,OUTDOOR,1990,60000
COLUMBUS CITY,Alkire Park Condo Assoc.,"2000 Kyger Dr, 43228",Columbus,OUTDOOR,1800,60000
COLUMBUS CITY,Forest Creek Apts.,"947 Forest Creek Dr, 43223",Columbus,OUTDOOR,1800,60000
COLUMBUS CITY,Stratford Chase,"275 Lazelle Rd, 43081",Westerville,OUTDOOR,1800,60000
COLUMBUS CITY,Thurber Towers Apts,"645 Neil Ave, 43215",Columbus,OUTDOOR,1500,60000
COLUMBUS CITY,Olentangy Village,"2955 N. High St., 43202",Columbus,OUTDOOR,1100,60000
COLUMBUS CITY,Hidden Lakes Assn Inc,"1363 Lake Shore Dr., 43204",Columbus,OUTDOOR,1060,60000
CUYAHOGA,Broadview Hts Splash Park,"9543 Broadview Rd, 44147",Broadview Hts,INDOOR,2100,60000
CUYAHOGA,Arbor Court Pool,"6617 Maplewood Dr, 44124",Mayfield Hts,OUTDOOR,1800,60000
CUYAHOGA,Sturbridge Village -Pool,"132 Chatham Way, 44124",Mayfield Hts,OUTDOOR,1740,60000
CUYAHOGA,Olmsted Park Condo Assn. - Pool,"4183 Columbia Rd, 44070",N. Olmsted,OUTDOOR,1500,60000
FRANKLIN,Goldfish Swim School,"6175 Shamrock Court Ste. G, 43016",Dublin,INDOOR,2125,60000
GREENE,Xenia YMCA- Pool,135 E. Church St.,Xenia,INDOOR,1450,60000
HAMILTON,Tri Health Fitness/Outdoor Pool,"6200 Pfeiffer Rd, 45242",Cincinnati,OUTDOOR,2715,60000
LICKING,Econolodge,733 Hebron Rd,Heath,OUTDOOR,1000,60000
MADISON,Canaan Community Mobile Home,"5130 Plain City Georgesville, 43064",Plain City,OUTDOOR,1800,60000
MAHONING,Fox Run Apartments,70 N. Raccoon Rd,Youngstown,OUTDOOR,1800,60000
WARREN,Villages of Winding Creek,"9700 Stone Creek Blvd, 45458",Dayton,OUTDOOR,1800,60000
WARREN,Woodfield Recreation  (Junior),"8873 Creekwood Lane, 45039",Maineville,OUTDOOR,1800,60000
CLERMONT,Woods Miami Trails Subdivision,"1188 Ridgewood Dr., 45140",Loveland,OUTDOOR,1998,59940
WARREN,Trails of Shaker Run - Pool,"1682 Greentree Meadows Dr., 45036",Lebanon,OUTDOOR,1995,59850
ASHTABULA,Comfort Inn (Ramada),1860 Austinburg,Ashtabula,OUTDOOR,1710,59836
CLINTON ,Thousand Trails - Pool,1786 State Route 380,Wilmington,INDOOR,1988,59640
CLERMONT,Lake Pointe Apt.,4352 Long Lake Rd 45103,Cincinnati,OUTDOOR,1994,59600
COLUMBUS CITY,Albany Crossing Station,"6139 Caledonia Dr., 43081",Westerville,OUTDOOR,1984,59520
ERIE,Sandusky Yacht Club,"529 East Water St., 44870",Sandusky,OUTDOOR,1984,59520
FRANKLIN,Amberleigh North Community,"8405 Autumnwood Way, 43017",Columbus,OUTDOOR,1984,59500
CANTON CITY,The Quarry Golf Pool,"5640  Quarry Lake Dr, 44730",Canton,OUTDOOR,1973,59457
LORAIN,Pioneer Ridge,"9479 Saw Mill Rd, 44039",N. Ridgeville,OUTDOOR,1998,59457
WARREN,Long Cove Community Center,"5500 Winding Cape Way, 45040",Mason,OUTDOOR,1986,59421
Ashland,Eagleview Apts.,"1436 Eagleview Way, 44805",Ashland,OUTDOOR,1980,59400
COLUMBUS CITY,Chippewill Condo Assn,"4793 Smoke Trail Ln, 43081",Westerville,OUTDOOR,1320,59400
COLUMBUS CITY,Columbus Park Apts.,"2143 Winslow DR., 43207",Columbus,OUTDOOR,1300,59400
DELAWARE,Trotters Landing,"1 Trotters Cir, Apt 1, 43015",Delaware,OUTDOOR,1980,59400
HANCOCK,The Horizon at Hillcrest Apts,"1001 Claudia Ln, 45840",Findlay,OUTDOOR,1980,59400
UNION,The Links Apts,"200 Gallery Dr., 43040",Marysville,OUTDOOR,4980,59400
BUTLER,Wildwood Apts.,"5877 Ross Rd, 45014",Fairfield,OUTDOOR,1980,59300
CUYAHOGA,Roosevelt-Pool,"20750 Arbor Ave, 44123",Euclid,OUTDOOR,3500,59250
CUYAHOGA,The Marsol Apts - Outdoor Pool,"6503 1/2 Marsol Dr, 44124",Mayfield Hts,OUTDOOR,1975,59250
WARREN,Crown Point Swim Club,"90 Crown Point Dr., 45458",Dayton,OUTDOOR,1993,59230
LUCAS,Quail Ridge Apts.,"1436 Piccadilly Lane, 43537",Maumee,OUTDOOR,1500,59100
PORTAGE,Streetsboro KOA,"187 ST RT 303, 44241",Streetsboro,OUTDOOR,1863,59100
COLUMBUS CITY,The View at Polaris,"601 Flarastar Ave, 43240",Columbus,OUTDOOR,1968,59040
BELMONT,Orchard Terrace Pool,323 Orchard Lane,St. Clairsville,OUTDOOR,1415,59000
MADISON,Charter Club Apartments,"1040 Windward Drive, 43140",London,OUTDOOR,1800,59000
ERIE,Hotel Breakers East Pool,Cedar Point,Sandusky,OUTDOOR,1964,58920
MAHONING,Copeland Oaks (Pool),"800 S. 15th Street, 44672",Sebring,INDOOR,1776,58905
WARREN,Falls at Settlers Walk - Pool,"10 Falls Blvd, 45066",Springboro,OUTDOOR,1961,58830
CUYAHOGA,NE OH Swim School,"4670 Richmond Rd, 44128",Warrensville,INDOOR,1960,58643
CUYAHOGA,Hillcrest Family YMCA Indoor Pool,"5000 Mayfield Rd, 44124",Lyndhurst,INDOOR,1200,58600
CINCINNATI CITY,Arbor At Montana,2425 Montana Av,Cincinnati,OUTDOOR,1800,58500
CINCINNATI CITY,Arbor at Montana,"2425 Montana Ave, 45211",Cincinnati City,OUTDOOR,1800,58500
CLERMONT,East Fork Crossing,"352 E. Meadow Dr., 45103",Batavia,OUTDOOR,1950,58500
CLEVELAND CITY,Westpark YMCA-Pool,15501 Lorain Ave,Cleveland,INDOOR,1200,58500
COLUMBUS CITY,The Elms Apts.,"4334 Appian Wy, 43230",Gahanna,OUTDOOR,1569,58500
COLUMBUS CITY,Shannon Lakes,"4245 Coble Bowman, 43110",Canal Winchester,OUTDOOR,1300,58500
CUYAHOGA,Euclid Family YMCA - Indoor Pool,"631 Babbitt Rd, 44123",Euclid,INDOOR,1200,58500
HAMILTON CITY,Booker T Washington Community,"1140 S. Front St., 45011",Hamilton,OUTDOOR,1200,58500
LORAIN,Highland Park,"36126 N Park Dr, 44011",Avon,OUTDOOR,1950,58500
WARREN,Kings Island Resort & Conference,5691 Kings Island Dr.,Mason,INDOOR,1256,58500
WARREN,Thornton Grove,"673 Linden Creek Dr., 45152",Morrow,OUTDOOR,1782,58400
CANTON CITY,Hall of Fame Indoor Pool,2700 Roberts Ave,Canton,INDOOR,1945,58373
WARREN,Countryside Community Assn,"120 Village Park Dr., 45036",Lebanon,OUTDOOR,1950,58344
WARREN,Heritage Club Pool,"6690 Heritage Club Dr., 45040",Mason,OUTDOOR,1950,58344
COLUMBUS CITY,The Villages at Preserve Crossing,"6385 Preserve Crossing Blvd, 43230",Columbus,OUTDOOR,1944,58300
COLUMBUS CITY,The Falls at Hayden Run Master Assoc.,"5570 Mesa Falls St., 43016",Dublin,OUTDOOR,1944,58300
FRANKLIN,Hilliard Grand Apts. Pool,"5399 Grand Dr., 43016",Hilliard,OUTDOOR,1994,58300
FRANKLIN,Tremont Club Master Assoc. LLC,"4800 Tremont Club Dr., 43026",Hilliard,OUTDOOR,1910,58300
MEDINA,Lexington Ridge main Pool,"4367 Lexington Ridge Dr, 44256",Medina,OUTDOOR,1950,58300
MEDINA,Weatherstone Main pool,"1100 Ledgestone Dr, 44281",Wadsworth,OUTDOOR,1950,58300
STARK,Emerald Estates,"9634 Agate St., 44614",Canal Fulton,OUTDOOR,1950,58300
STARK,Saratoga Hills,7363 Saratoga Hills Dr,Canton,OUTDOOR,1950,58300
STARK,Danbury Glen,"440 Leighfield Ln NE, 44632",Hartville,OUTDOOR,1950,58300
VAN WERT,YWCA of Van Wert County Pool,"408 E. Main St., 45891",Van Wert,INDOOR,1295,58275
CUYAHOGA,Greenbriar - Pool,"17675 River Valley, 44133",N. Royalton,OUTDOOR,1980,58226
BUTLER,Carriage Hill Community Pool,6285 Coach House Way,Liberty,OUTDOOR,1951,58115
BUTLER,LA Fitness,7730 Dudley Dr,West Chester,INDOOR,1982,58084
CINCINNATI CITY,LA Fitness,"4700 Marburg Avve, 45209",Cincinnati,INDOOR,1982,58084
CUYAHOGA,Cliff Towers Condo Owners Pool,"2039 Wooster Rd, 44116",Rocky River,OUTDOOR,1624,58060
CUYAHOGA,Jamestown Village Pool,"4809 Columbia Rd, 44070",N Olmsted,OUTDOOR,1779,58016
AUGLAIZE,Nazarene District Center,272 Jack Oak Point Rd,St. Marys,OUTDOOR,1950,58000
BUTLER,Foxborough,7610 Hunters Trail,West Chester,OUTDOOR,1950,58000
BUTLER,Today Homes,Mill and Winton Rd,Fairfield,OUTDOOR,1825,58000
BUTLER,Today Homes,Mill and Winton Roads,Fairfield,OUTDOOR,1825,58000
COLUMBUS CITY,Cheaspeake Mill Apt. Homes,"5550 Arturo Ct, 43231",Columbus,OUTDOOR,2352,58000
COLUMBUS CITY,McNeill Farms Clubhouse,"7460 Ladykirk Dr., 43004",Blacklick,OUTDOOR,1975,58000
COLUMBUS CITY,Peppertree Condos,"6340 New London Dr., 43231",Columbus,OUTDOOR,1250,58000
CUYAHOGA,Village in the Park- Pool,"27433 Detroit Rd, 44145",Westlake,OUTDOOR,1456,58000
FRANKLIN,Regency Arms Pool,"2898 Parlin Dr., 43123",Grove City,OUTDOOR,1500,58000
LAKE,Cedar Hill Conference Center,5811 Vrooman Rd,Leroy,OUTDOOR,1392,58000
PREBLE,Natural Springs Resort,"500 South Washington St., 45347",New Park,OUTDOOR,1950,58000
STARK,London Square Condo Village,"2800 Charing Cross Rd NW, 44708",Canton,OUTDOOR,1200,58000
WARREN,Village on the Green,"964 Village Green Pkwy, 45039",Maineville,OUTDOOR,1995,58000
COLUMBUS CITY,Northern Place Townhomes,"4371 Belcher Ct., 43224",Columbus,OUTDOOR,1250,57960
SHARONVILLE CITY,The Pines Apts.,"12134 Midpines Dr, 45241",Cincinnati,OUTDOOR,2400,57862
MAHONING,Diehl Lake Co.,11351 S. Kiwatani Trail,Canfield,OUTDOOR,1842,57800
HAMILTON,Bishops Gate at Somerset,"8075 Somerset Chase, 45249",Cincinnati,OUTDOOR,1926,57780
CUYAHOGA,Shoreham Apartments,"11800 Edgewater Dr., 44107",Lakewood,OUTDOOR,1270,57745
BUTLER,Cherry Lane Farm,6404 Holly Hill Farm,West Chester,OUTDOOR,1920,57600
COLUMBUS CITY,New Albany Park Condo Assn,"5820 Andrew John Dr., 43054",New Albany,OUTDOOR,2277,57600
COLUMBUS CITY,Greene At White Oaks,"6460 Chelsea Glen Dr, 43110",Canal Winchester,OUTDOOR,1984,57600
COLUMBUS CITY,Greene At White Oaks,6460 Chelsea Glen Dr,Canal Winchester,OUTDOOR,1984,57600
COLUMBUS CITY,Farms @ New Albany Park,"5946 W. New Albany Rd, 43054",New Albany,OUTDOOR,1945,57600
COLUMBUS CITY,Gender Park Condo Assn.,"5152 Aquila Dr., 43110",Canal Winchester,OUTDOOR,1920,57600
COLUMBUS CITY,Bennington Pond,4261 Hamilton Square Blvd,Groveport,OUTDOOR,1920,57600
COLUMBUS CITY,Hamptons at New Albany Park,"7200 Steel Dust Dr., 43054",New Albany,OUTDOOR,1920,57600
COLUMBUS CITY,Villages @ New Albany Park,"7060 Bayton Pl, 43054",New Albany,OUTDOOR,1920,57600
COLUMBUS CITY,Waggoner Park Condo,"8141 Wyncrest, 43004",Blacklick,OUTDOOR,1600,57600
COLUMBUS CITY,The Villages at Waggoner Park Apts,"8181 Herald Cove, 43004",Blacklick,OUTDOOR,1500,57600
COLUMBUS CITY,Marble Cliff Commons,"2828 Marble Vista Blvd, 43204",Columbus,OUTDOOR,1500,57600
COLUMBUS CITY,Marble Cliff Commons,"2828 Marble Vista Blvd., 43204",Columbus,OUTDOOR,1500,57600
MADISON,"Keny Boulevard Estates, LLC","1090 Claudia Dr., 43140",London,OUTDOOR,1920,57600
WAYNE,Scottish Highlands,"4467 Burbank Rd, 44691",Wooster,OUTDOOR,1920,57600
CINCINNATI CITY,Lindsay Lane Apts,"4900 Strathmore Dr, 45227",Cincinnati,OUTDOOR,1250,57562
AUGLAIZE,Meadowbrook Condo Assn,"931 Rue Dr., 45806",Cridersville,OUTDOOR,1500,57528
COLUMBUS CITY,YMCA Central,"40 W. Long St., 43215",Columbus,INDOOR,1500,57503
CINCINNATI CITY,The Boulevard At Oakley Station,"3225 Oakley Station Blvd, 45209",Cincinnati,OUTDOOR,1896,57200
LORAIN,Pioneer Ridge,"9479 Saw Mill Rd, 44039",N. Ridgeville,INDOOR,1998,57147
MARION,River Bend Campground Pool,"1092 Whetstone River Rd, 43314",Caledonia,OUTDOOR,1906,57030
CINCINNATI CITY,Fairview Pool,2219 Ravine St.,Cincinnati,OUTDOOR,3200,57000
CINCINNATI CITY,Bear Paddle Swim School,"3099 Disney Street, 45209",Cincinnati,INDOOR,1980,57000
CINCINNATI CITY,Montana Valley Apts.,"2678 Montana Ave, 45211",Cincinnati,OUTDOOR,1900,57000
CLERMONT,Black Horse Run Subdivision,"1100 Black Horse Run, 45140",Loveland,OUTDOOR,1900,57000
CLERMONT,Estates at Polo Fields,"1053 Westchester Way, 45244",Cincinnati,OUTDOOR,1800,57000
COLUMBUS CITY,Harrison Park Rec Ctr.,"575 W. 1st St., 43215",Columbus,OUTDOOR,1860,57000
ERIE,Plumbrook Estates,"4310 Woodridge Dr., 44870",Sandusky,OUTDOOR,1930,57000
GREENE,The Woods of Beavercreek,2161 Hidden Woods Blvd,Beavercreek,OUTDOOR,1907,57000
HOLMES,Wally World Resort - Pool,"16121 CR 23, 44842",Loudonville,OUTDOOR,1904,57000
LORAIN,Lorain County Metro Parks Splash Zone,"95 West Hamilton, 44074",Oberlin,INDOOR,1920,57000
WARREN,Soraya Farms LLC,"1401 Lemans Blvd, 45458",Centerville,OUTDOOR,1900,57000
HAMILTON,LA Fitness/Pool,5901 E. Galbraith Rd,Cincinnati,INDOOR,1720,56940
LORAIN,Aquamarine Pool,750 Aquamarine Blvd,Avon Lake,OUTDOOR,1900,56900
CUYAHOGA,The Aster Apartments,"3600 Park East Dr., 44122",Beachwood,OUTDOOR,1596,56700
LICKING,Heath Municipal Pool Interactive,"1287 Hebron Rd, 43056",Heath,OUTDOOR,5931,56652
HAMILTON,Ashley Woods Apt.,"2300 Waldenglen Cir, 45231",Cincinnati,OUTDOOR,1888,56640
ERIE,Beulah Beach Pool,"6016 W. Lake Rd, 44089",Vermilion,OUTDOOR,1976,56479
WARREN,Somerset at Deerfield #1,"8502 Sugar Maple Dr., 45040",Mason,OUTDOOR,1880,56400
CLEVELAND CITY,The Edison at Gordon Square,6060 Father Caruso Drive,Cleveland,OUTDOOR,1878,56340
CINCINNATI CITY,Winton Hills Pool (Dive Well),"5170 Winneste Ave, 45232",Cincinnati,OUTDOOR,1600,56325
COLUMBUS CITY,Madison Grove,"2800 Booty Dr., 43207",Columbus,OUTDOOR,1876,56265
CUYAHOGA,River Hill Condo Pool,"20333 Detroit Rd, 44116",Rocky River,OUTDOOR,1250,56250
FRANKLIN,Days Inn Pool,1849 Stingtown Rd,Grove City,OUTDOOR,1250,56250
BELMONT,Twin Pines,"46079 National Rd, 43950",St. Clairsville,OUTDOOR,1260,56200
COLUMBIANA,Pembrooke Villas Condo,"1204 Pembrooke Dr, 44460",Salem,OUTDOOR,1296,56000
COLUMBUS CITY,Villages at White Oak Park,"4805 Loblolly Dr, 43110",Canal Winchester,OUTDOOR,1920,56000
COLUMBUS CITY,Polaris Crossing,"1100 Polaris Crossing Blvd, 43081",Westerville,OUTDOOR,1875,56000
FRANKLIN,Ramada Inn East Airport Pool,4801 E. Broad St.,Whitehall,OUTDOOR,1250,56000
JEFFERSON,Best Western Inn of Stubenville,1401 University Blvd,Steubenville,OUTDOOR,1456,56000
LAKE,Heatherstone,6400 Center Street,Mentor,OUTDOOR,1500,56000
LAKE,Deepwood North Comp,"8100 Deepwood Blvd, 44060",Mentor,OUTDOOR,1250,56000
LAKE,Big Turtle Condo Unit,"Community Dr, 44094",Willoughby,OUTDOOR,1250,56000
LORAIN,West Ridge Green CO,"9235 W. Ridge Rd, 44035",Elyria,OUTDOOR,1250,56000
MEDINA,Cross Creek Apts,"1300 Cross Creek Dr.,#112, 44212",Brunswick,OUTDOOR,1800,56000
PICKAWAY,Deer Creek Lodge,"22300 St. Park Rd, 43143",Mt. Sterling,INDOOR,1196,56000
CUYAHOGA,De Ville Apt- Pool,"23511 Chagrin Blvd, 44122",Beachwood,OUTDOOR,1545,55950
BUTLER,Goldfish Swim School - West,7058  Ridgetop Drive,West Chester,INDOOR,1950,55800
CUYAHOGA,Cambridge Village -Pool,"7751 Cambridge Rd, 44141",Brecksville,OUTDOOR,1100,55500
BUTLER,Bridle Creek,"100 Bridle Creek, 45050",Monroe,OUTDOOR,1848,55400
WARREN,Stonebrook Community Pool,"282 Stonebrook Way, 45065",Lebanon,OUTDOOR,1840,55400
COLUMBUS CITY,The District at Linworth,"6360 Eberstark Dr, 43085",Columbus,OUTDOOR,1973,55300
FRANKLIN,Arbors of Gahanna Pool,"150 Arbors Cir., 43230",Gahanna,OUTDOOR,1898,55300
FRANKLIN,Arbors of Gahanna Pool,"150 Arbors Cir, 43230",Gahanna,OUTDOOR,1898,55300
WARREN,Heatherwoode Swim & Tennis,"110 Edinburgh Dr., 45066",Springboro,OUTDOOR,1952,55247
CINCINNATI CITY,Clearpointe Woods Apartments,"1836 Sunset Ave, 45238",Cincinnati,OUTDOOR,1200,55125
CINCINNATI CITY,The Edgecliff Private Residences,"2200 Victory Pkwy, 45206",Cincinnati,OUTDOOR,1836,55080
Allen,Gatehouse Condo Assoc.,"2275 N. Cable Rd, 45805",Lima,OUTDOOR,1350,55000
Allen,Northlake Village Apts. Main Pool,"1741 Lucille Dr., 45801",Lima,OUTDOOR,1040,55000
ASHTABULA,King Arthur's Court,"4960 Golfview Dr, 44041",Geneve-on-the-Lake,OUTDOOR,1250,55000
ASHTABULA,Motel 6,"1715 South Broadway (St. Rt. 534), 44041",Geneva,OUTDOOR,600,55000
BUTLER,The Oaks at Woodridge,3800 Woodridge Blvd,Fairfield,OUTDOOR,1850,55000
BUTLER,Lakewood HOA Pool,3489 Lakewood Court,Hamilton,OUTDOOR,1800,55000
CINCINNATI CITY,Amberley House Apts,"3501 Section Rd, 45237",Cincinnati,OUTDOOR,855,55000
CLERMONT,Fay Garden MHP,"1480 Fay Rd, 45140",Loveland,OUTDOOR,836,55000
CLEVELAND CITY,Sphere Apt.,1801 E. 12th St.,Cleveland,OUTDOOR,1600,55000
CLEVELAND CITY,Four Points by Sheraton/Cleve,4181 W. 150th St.,Cleveland,INDOOR,1080,55000
COLUMBIANA,Lake Cha-vel,10620 St. Rt. 45,Wellsville,OUTDOOR,1152,55000
COLUMBUS CITY,Lifetime Fitness,"3900 Easton Station, 43219",Columbus,INDOOR,2791,55000
COLUMBUS CITY,The Barn,"5451 Edwards Farms Rd, 43221",Columbus,OUTDOOR,1980,55000
COLUMBUS CITY,Haugland Learning Center,"7690 New Market Center Wy, 43235",Columbus,INDOOR,1750,55000
COLUMBUS CITY,Hilliard Village,"3400 Twin Creeks Dr, 43204",Columbus,OUTDOOR,1700,55000
COLUMBUS CITY,Twin Creek,"3400 Twin Creeks Dr., 43204",Columbus,OUTDOOR,1700,55000
COLUMBUS CITY,Highland Park Aps.,"2471 Prendergast Pl, 43068",Reynoldsburg,OUTDOOR,1500,55000
COLUMBUS CITY,Hilliard Village Club House,"5800 Winthorne Ave, 43026",Hilliard,OUTDOOR,1300,55000
COLUMBUS CITY,Americana,"370 S. 5th St., 43215",Columbus,OUTDOOR,950,55000
CUYAHOGA,Crystal Tower,"16000 Terrace Rd, 44112",E. Cleveland,OUTDOOR,1800,55000
CUYAHOGA,Lake Park Towers Apt Complex,"13855 Superior Ave, 44118",E. Cleveland,OUTDOOR,1800,55000
CUYAHOGA,Islander Apts - Indoor,"7711 Normandie Blvd, 44130",Middleburg Hts,INDOOR,1326,55000
CUYAHOGA,Normandy Towers - Indoor Pool,"24801 Lakeshore Blvd, 44123",Euclid,INDOOR,1256,55000
CUYAHOGA,Chaunticlair Condo - Pool,"Top of Creekwood Dr., 44133",N. Royalton,OUTDOOR,1250,55000
CUYAHOGA,Old Orchard Condo- Pool,"22948 Mastick Rd, 44126",Fairview Park,OUTDOOR,1225,55000
FRANKLIN,Auburn Village Pool,"3050 Hoover Rd, 43123",Grove City,OUTDOOR,5000,55000
FRANKLIN,Auburn Village Pool,"3816 Queen Ann Pl, 43123",Grove City,OUTDOOR,5000,55000
FRANKLIN,Crystal Lake Apts. Pool,"4663 Crystal Ball Dr., 43026",Hilliard,OUTDOOR,4000,55000
HAMILTON,The Commons Apts,"10645 Springfield Pike, 45215",Cincinnati,OUTDOOR,1955,55000
HAMILTON,The Commons Apts,"10645 Springfield Pike, 45215",Cincinnati,OUTDOOR,1955,55000
HARRISON,Cadiz Country Club,"800 Country Club Rd, 43907",Cadizz,OUTDOOR,15000,55000
LORAIN,Camelot Swim Club,"4545 Secretariat, 44011",Avon,OUTDOOR,1800,55000
LUCAS,Byrne Hill Village,"3601 Hill Ave, 43617",Toledo,OUTDOOR,1750,55000
LUCAS,ESC Of Lake Erie West,"2275 Collingwood Blvd, 43620",Toledo,INDOOR,1584,55000
LUCAS,Lucas Country Educational Service,2275 Collingwood Blvd,Toledo,INDOOR,1584,55000
LUCAS,Toledo Yacht Club,"3900 N. Summit St., 43611",Toledo,OUTDOOR,1250,55000
MUSKINGUM,Mapleview Terrace Apt.,Venus Place & Mapleview Dr.,Zanesville,OUTDOOR,1635,55000
NILES CITY,Fairhaven School,"420 Lincoln Way, 44446",Niles,OUTDOOR,960,55000
PICKAWAY,Lockbourne Lodge MHP- Pool,"10610 Ashville Pike, 43137",Lockbourne,OUTDOOR,1800,55000
PREBLE,Hueston Woods Resort (Outdoor),"5201 Lodge Rd, 45003",College Corner,OUTDOOR,6457.5,55000
SCIOTO,Candlewood Apts. Pool,650 Colony Dr,Wheelersburg,OUTDOOR,1800,55000
STARK,London Square Apts,"2740 Shaftesbury Dr NW, 44708",Canton,OUTDOOR,1400,55000
STARK,Presidential Suites,"8274 Traphagen NW, 44646",Massillon,OUTDOOR,1200,55000
WARREN,Countryside YMCA - Senior Center,"1699 Deerfield Rd, 45036",Lebanon,INDOOR,1985,55000
WARREN,Hopewell Valley Pool,"5284 Hopewell Valley Dr., 45152",Morrow,OUTDOOR,1800,55000
WARREN,Kings View Apts. Pool,"1500 Parkside Ln, 45040",Mason,OUTDOOR,1500,55000
WARREN CITY,Trumbull Family Fitness Men's Pool,"210 High Street, NW",Warren,INDOOR,1200,55000
WASHINGTON,Lakeside Inc. Motel,18850 SR 60,Beverly,OUTDOOR,1200,55000
SHELBY,Sidney Municipal Pool - Intermediate,"12 Tawawa Dr., 45365",Sidney,OUTDOOR,3000,54978
COLUMBUS CITY,LA Fitness & Pro Results,"6585 E Broad Street, 43213",Columbus,INDOOR,1832,54960
WARREN,Fosters Pointe Pool,"8054 Faller Rd, 45039",Maineville,OUTDOOR,1800,54800
CUYAHOGA,Big Creek Apts,"11540 Apache Dr, 44130",Parma Hts,OUTDOOR,1940,54750
LUCAS,Lake of the Woods Apts,"6633 W. Bancroft St, 43615",Toledo,OUTDOOR,1500,54750
